id,jp_name,en_name,hiragana,katakana,parent_id
1,北海道・東北,hokkaidou・touhoku,ほっかいどう・とうほく,ホッカイドウ・トウホク,0
2,関東,kantou,かんとう,カントウ,0
3,中部・北陸,chuubu・hokuriku,ちゅうぶ・ほくりく,チュウブ・ホクリク,0
4,関西,kansai,かんさい,カンサイ,0
5,中国・四国,chuugoku・shikoku,ちゅうごく・しこく,チュウゴク・シコク,0
6,九州・沖縄,kyuushuu・okinawa,きゅうしゅう・おきなわ,キュウシュウ・オキナワ,0
7,北海道,hokkaidou,ほっかいどう,ホッカイドウ,1
8,青森県,aomoriken,あおもりけん,アオモリケン,1
9,岩手県,iwateken,いわてけん,イワテケン,1
10,宮城県,miyagiken,みやぎけん,ミヤギケン,1
11,秋田県,akitaken,あきたけん,アキタケン,1
12,山形県,yamagataken,やまがたけん,ヤマガタケン,1
13,福島県,fukushimaken,ふくしまけん,フクシマケン,1
14,茨城県,ibarakiken,いばらきけん,イバラキケン,2
15,栃木県,tochigiken,とちぎけん,トチギケン,2
16,群馬県,gunmaken,ぐんまけん,グンマケン,2
17,埼玉県,saitamaken,さいたまけん,サイタマケン,2
18,千葉県,chibaken,ちばけん,チバケン,2
19,東京都,toukyouto,とうきょうと,トウキョウト,2
20,神奈川県,kanagawaken,かながわけん,カナガワケン,2
21,新潟県,niigataken,にいがたけん,ニイガタケン,3
22,富山県,toyamaken,とやまけん,トヤマケン,3
23,石川県,ishikawaken,いしかわけん,イシカワケン,3
24,福井県,fukuiken,ふくいけん,フクイケン,3
25,山梨県,yamanashiken,やまなしけん,ヤマナシケン,3
26,長野県,naganoken,ながのけん,ナガノケン,3
27,岐阜県,gifuken,ぎふけん,ギフケン,3
28,静岡県,shizuokaken,しずおかけん,シズオカケン,3
29,愛知県,aichiken,あいちけん,アイチケン,3
30,三重県,mieken,みえけん,ミエケン,3
31,滋賀県,shigaken,しがけん,シガケン,4
32,京都府,kyoutofu,きょうとふ,キョウトフ,4
33,大阪府,oosakafu,おおさかふ,オオサカフ,4
34,兵庫県,hyougoken,ひょうごけん,ヒョウゴケン,4
35,奈良県,naraken,ならけん,ナラケン,4
36,和歌山県,wakayamaken,わかやまけん,ワカヤマケン,4
37,鳥取県,tottoriken,とっとりけん,トットリケン,5
38,島根県,shimaneken,しまねけん,シマネケン,5
39,岡山県,okayamaken,おかやまけん,オカヤマケン,5
40,広島県,hiroshimaken,ひろしまけん,ヒロシマケン,5
41,山口県,yamaguchiken,やまぐちけん,ヤマグチケン,5
42,徳島県,tokushimaken,とくしまけん,トクシマケン,5
43,香川県,kagawaken,かがわけん,カガワケン,5
44,愛媛県,ehimeken,えひめけん,エヒメケン,5
45,高知県,kouchiken,こうちけん,コウチケン,5
46,福岡県,fukuokaken,ふくおかけん,フクオカケン,6
47,佐賀県,sagaken,さがけん,サガケン,6
48,長崎県,nagasakiken,ながさきけん,ナガサキケン,6
49,熊本県,kumamotoken,くまもとけん,クマモトケン,6
50,大分県,ooitaken,おおいたけん,オオイタケン,6
51,宮崎県,miyazakiken,みやざきけん,ミヤザキケン,6
52,鹿児島県,kagoshimaken,かごしまけん,カゴシマケン,6
53,沖縄県,okinawaken,おきなわけん,オキナワケン,6
54,札幌市,sapporoshi,さっぽろし,サッポロシ,7
55,函館市,hakodateshi,はこだてし,ハコダテシ,7
56,小樽市,otarushi,おたるし,オタルシ,7
57,旭川市,asahikawashi,あさひかわし,アサヒカワシ,7
58,室蘭市,muroranshi,むろらんし,ムロランシ,7
59,釧路市,kushiroshi,くしろし,クシロシ,7
60,帯広市,obihiroshi,おびひろし,オビヒロシ,7
61,北見市,kitamishi,きたみし,キタミシ,7
62,夕張市,yuubarishi,ゆうばりし,ユウバリシ,7
63,岩見沢市,iwamizawashi,いわみざわし,イワミザワシ,7
64,網走市,abashirishi,あばしりし,アバシリシ,7
65,留萌市,rumoishi,るもいし,ルモイシ,7
66,苫小牧市,tomakomaishi,とまこまいし,トマコマイシ,7
67,稚内市,wakkanaishi,わっかないし,ワッカナイシ,7
68,美唄市,bibaishi,びばいし,ビバイシ,7
69,芦別市,ashibetsushi,あしべつし,アシベツシ,7
70,江別市,ebetsushi,えべつし,エベツシ,7
71,赤平市,akabirashi,あかびらし,アカビラシ,7
72,紋別市,monbetsushi,もんべつし,モンベツシ,7
73,士別市,shibetsushi,しべつし,シベツシ,7
74,名寄市,nayoroshi,なよろし,ナヨロシ,7
75,三笠市,mikasashi,みかさし,ミカサシ,7
76,根室市,nemuroshi,ねむろし,ネムロシ,7
77,千歳市,chitoseshi,ちとせし,チトセシ,7
78,滝川市,takikawashi,たきかわし,タキカワシ,7
79,砂川市,sunagawashi,すながわし,スナガワシ,7
80,歌志内市,utashinaishi,うたしないし,ウタシナイシ,7
81,深川市,fukagawashi,ふかがわし,フカガワシ,7
82,富良野市,furanoshi,ふらのし,フラノシ,7
83,登別市,noboribetsushi,のぼりべつし,ノボリベツシ,7
84,恵庭市,eniwashi,えにわし,エニワシ,7
85,伊達市,dateshi,だてし,ダテシ,7
86,北広島市,kitahiroshimashi,きたひろしまし,キタヒロシマシ,7
87,石狩市,ishikarishi,いしかりし,イシカリシ,7
88,北斗市,hokutoshi,ほくとし,ホクトシ,7
89,当別町,toubetsuchou,とうべつちょう,トウベツチョウ,7
90,新篠津村,shinshinotsumura,しんしのつむら,シンシノツムラ,7
91,松前町,matsumaechou,まつまえちょう,マツマエチョウ,7
92,福島町,fukushimachou,ふくしまちょう,フクシマチョウ,7
93,知内町,shiriuchichou,しりうちちょう,シリウチチョウ,7
94,木古内町,kikonaichou,きこないちょう,キコナイチョウ,7
95,七飯町,nanaechou,ななえちょう,ナナエチョウ,7
96,鹿部町,shikabechou,しかべちょう,シカベチョウ,7
97,森町,morimachi,もりまち,モリマチ,7
98,八雲町,yagumochou,やぐもちょう,ヤグモチョウ,7
99,長万部町,oshamanbechou,おしゃまんべちょう,オシャマンベチョウ,7
100,江差町,esashichou,えさしちょう,エサシチョウ,7
101,上ノ国町,kaminokunichou,かみのくにちょう,カミノクニチョウ,7
102,厚沢部町,assabuchou,あっさぶちょう,アッサブチョウ,7
103,乙部町,otobechou,おとべちょう,オトベチョウ,7
104,奥尻町,okushirichou,おくしりちょう,オクシリチョウ,7
105,今金町,imakanechou,いまかねちょう,イマカネチョウ,7
106,せたな町,setanachou,せたなちょう,セタナチョウ,7
107,島牧村,shimamakimura,しままきむら,シママキムラ,7
108,寿都町,suttsuchou,すっつちょう,スッツチョウ,7
109,黒松内町,kuromatsunaichou,くろまつないちょう,クロマツナイチョウ,7
110,蘭越町,rankoshichou,らんこしちょう,ランコシチョウ,7
111,ニセコ町,nisekochou,にせこちょう,ニセコチョウ,7
112,真狩村,makkarimura,まっかりむら,マッカリムラ,7
113,留寿都村,rusutsumura,るすつむら,ルスツムラ,7
114,喜茂別町,kimobetsuchou,きもべつちょう,キモベツチョウ,7
